time,with feedback,without feedback
34.8,-99,90
34.85,-96,103
34.9,-94,111
34.95,-84,114
35,-68,115
35.05,-53,107
35.1,-29,95
35.15,-6,77
35.2,13,57
35.25,36,33
35.3,57,3
35.35,70,-25
35.4,83,-47
35.45,89,-68
35.5,90,-85
35.55,87,-95
35.6,78,-103
35.65,66,-99
35.7,49,-94
35.75,31,-82
35.8,8,-61
35.85,-17,-43
35.9,-37,-15
35.95,-61,8
36,-74,36
36.05,-86,62
36.1,-94,81
36.15,-96,96
36.2,-93,108
36.25,-83,113
36.3,-69,112
36.35,-57,108
36.4,-35,99
36.45,-10,84
36.5,10,62
36.55,32,40
36.6,52,17
36.65,68,-13
36.7,79,-34
36.75,85,-61
36.8,89,-77
36.85,85,-89
36.9,78,-98
36.95,67,-98
37,51,-93
37.05,33,-87
37.1,12,-68
37.15,-12,-53
37.2,-33,-31
37.25,-55,-1
37.3,-69,21
37.35,-81,49
37.4,-92,66
37.45,-93,87
37.5,-90,102
37.55,-87,109
37.6,-71,111
37.65,-59,110
37.7,-38,104
37.75,-17,88
37.8,6,71
37.85,27,51
37.9,47,32
37.95,62,0
38,78,-26
38.05,83,-46
38.1,86,-67
38.15,84,-81
38.2,77,-90
38.25,66,-98
38.3,55,-93
38.35,36,-90
38.4,15,-77
38.45,-8,-62
38.5,-27,-39
38.55,-50,-13
38.6,-66,9
38.65,-78,34
38.7,-88,57
38.75,-91,77
38.8,-90,95
38.85,-85,104
38.9,-69,109
38.95,-59,108
39,-40,104
39.05,-20,94
39.1,1,80
39.15,24,62
39.2,41,40
39.25,60,13
39.3,69,-12
39.35,81,-33
39.4,85,-55
39.45,82,-72
39.5,78,-84
39.55,68,-93
39.6,56,-95
39.65,41,-90
39.7,21,-83
39.75,-1,-65
39.8,-23,-50
39.85,-43,-26
39.9,-61,-1
39.95,-73,21
40,-83,48
40.05,-89,66
40.1,-88,84
40.15,-84,98
40.2,-73,104
40.25,-61,107
40.3,-44,103
40.35,-26,97
40.4,-6,85
40.45,17,69
40.5,37,51
40.55,53,28
40.6,67,0
40.65,77,-21
40.7,81,-43
40.75,83,-64
40.8,78,-78
40.85,70,-87
40.9,61,-93
40.95,43,-89
41,27,-86
41.05,3,-71
41.1,-16,-57
41.15,-35,-39
41.2,-54,-13
41.25,-67,12
41.3,-78,35
41.35,-85,58
41.4,-86,74
41.45,-85,91
41.5,-77,101
41.55,-65,105
41.6,-52,105
41.65,-33,99
41.7,-10,88
41.75,7,73
41.8,28,57
41.85,47,39
41.9,61,13
41.95,73,-15
42,79,-33
42.05,80,-53
42.1,79,-67
42.15,73,-80
42.2,62,-87
42.25,49,-91
42.3,32,-87
42.35,12,-85
42.4,-10,-70
42.45,-28,-59
42.5,-47,-42
42.55,-62,-17
42.6,-72,3
42.65,-82,27
42.7,-84,52
42.75,-83,69
42.8,-79,85
42.85,-68,97
42.9,-54,102
42.95,-36,103
43,-19,99
43.05,0,91
43.1,19,76
43.15,38,60
43.2,56,42
43.25,66,18
43.3,74,-10
43.35,78,-29
43.4,79,-49
43.45,73,-66
43.5,64,-77
43.55,54,-87
43.6,38,-87
43.65,21,-84
43.7,-3,-78
43.75,-20,-61
43.8,-39,-48
43.85,-55,-26
43.9,-66,0
43.95,-76,20
44,-82,43
44.05,-83,63
44.1,-79,78
44.15,-69,94
44.2,-61,98
44.25,-44,100
44.3,-25,99
44.35,-6,91
44.4,13,80
44.45,32,64
44.5,49,45
44.55,61,23
44.6,68,-1
44.65,75,-21
44.7,77,-45
44.75,74,-63
44.8,70,-72
44.85,63,-82
44.9,54,-85
44.95,39,-84
45,23,-79
45.05,5,-65
45.1,-16,-50
45.15,-32,-29
45.2,-50,-6
45.25,-64,14
45.3,-72,39
45.35,-80,59
45.4,-81,74
45.45,-78,89
45.5,-71,95
45.55,-60,99
45.6,-46,97
45.65,-30,91
45.7,-8,79
45.75,9,66
45.8,27,49
45.85,45,32
45.9,58,2
45.95,67,-17
46,74,-38
46.05,75,-58
46.1,73,-70
46.15,66,-79
46.2,58,-83
46.25,45,-82
46.3,29,-79
46.35,10,-65
46.4,-9,-53
46.45,-29,-35
46.5,-46,-10
46.55,-59,8
46.6,-69,32
46.65,-76,51
46.7,-80,70
46.75,-76,85
46.8,-70,92
46.85,-62,97
46.9,-49,95
46.95,-32,91
47,-13,82
47.05,4,66
47.1,24,52
47.15,38,34
47.2,54,8
47.25,65,-13
47.3,71,-33
47.35,75,-52
47.4,72,-65
47.45,68,-76
47.5,61,-82
47.55,46,-81
47.6,33,-78
47.65,14,-66
47.7,-1,-55
47.75,-20,-35
47.8,-39,-14
47.85,-55,5
47.9,-65,27
47.95,-72,50
48,-77,66
48.05,-76,80
48.1,-73,91
48.15,-64,95
48.2,-53,94
48.25,-37,89
48.3,-21,80
48.35,-3,67
48.4,16,52
48.45,33,38
48.5,47,9
48.55,59,-9
48.6,68,-28
48.65,71,-52
48.7,71,-64
48.75,67,-72
48.8,62,-80
48.85,51,-78
48.9,37,-77
48.95,17,-66
49,1,-55
49.05,-15,-39
49.1,-34,-15
49.15,-50,2
49.2,-61,24
49.25,-69,47
49.3,-73,63
49.35,-75,76
49.4,-71,87
49.45,-64,93
49.5,-54,93
49.55,-39,89
49.6,-22,81
49.65,-3,69
49.7,11,56
49.75,28,39
49.8,43,11
49.85,58,-5
49.9,65,-26
49.95,70,-46
50,70,-61
50.05,67,-69
50.1,61,-77
50.15,53,-77
50.2,41,-75
50.25,24,-66
50.3,4,-55
50.35,-12,-40
50.4,-29,-19
50.45,-47,1
50.5,-58,20
50.55,-66,43
50.6,-72,59
50.65,-74,73
50.7,-71,84
50.75,-65,90
50.8,-56,92
50.85,-42,89
50.9,-27,82
50.95,-7,71
51,8,56
51.05,23,42
51.1,40,17
51.15,53,0
51.2,62,-21
51.25,67,-41
51.3,70,-57
51.35,68,-65
51.4,63,-75
51.45,53,-76
51.5,41,-75
51.55,27,-68
51.6,9,-58
51.65,-5,-42
51.7,-25,-23
51.75,-41,-5
51.8,-54,14
51.85,-64,37
51.9,-68,55
51.95,-71,66
52,-70,80
52.05,-65,86
52.1,-58,90
52.15,-46,87
52.2,-30,81
52.25,-14,71
52.3,2,60
52.35,19,46
52.4,34,22
52.45,48,2
52.5,59,-16
52.55,64,-35
52.6,68,-53
52.65,67,-63
52.7,64,-72
52.75,57,-74
52.8,45,-73
52.85,31,-68
52.9,15,-58
52.95,0,-46
53,-16,-24
53.05,-34,-6
53.1,-48,11
53.15,-59,31
53.2,-66,49
53.25,-69,65
53.3,-69,76
53.35,-65,84
53.4,-61,88
53.45,-50,86
53.5,-37,83
53.55,-18,72
53.6,-2,63
53.65,13,48
53.7,29,26
53.75,42,5
53.8,54,-10
53.85,62,-29
53.9,66,-47
53.95,66,-61
54,64,-68
54.05,59,-72
54.1,49,-72
54.15,35,-69
54.2,19,-60
54.25,3,-49
54.3,-10,-32
54.35,-29,-13
54.4,-43,6
54.45,-55,25
54.5,-62,44
54.55,-66,59
54.6,-69,74
54.65,-66,82
54.7,-62,86
54.75,-52,88
